UID,DL_method_availability
10.1016_j.ecoinf.2022.101914.pdf,No
10.1016_j.ecoinf.2022.101757.pdf,Yes
10.1016_j.ecoinf.2023.102150.pdf,Yes
10.1016_j.ecoinf.2021.101384.pdf,No
10.1016_j.ecoinf.2024.102655.pdf,No
10.1016_j.ecoinf.2024.102496.pdf,No
10.1016_j.ecoinf.2024.102640.pdf,Yes
10.1016_j.ecoinf.2024.102533.pdf,No
87.pdf,Yes
10.1016_j.ecoinf.2024.102700.pdf,No
10.1016_j.ecoinf.2023.102155.pdf,No
10.1016_j.ecoinf.2023.102252.pdf,No
10.1016_j.ecoinf.2024.102554.pdf,No
10.1016_j.ecoinf.2023.102258.pdf,Yes
10.1016_j.ecoinf.2024.102630.pdf,No
191.pdf,Yes
10.1016_j.ecoinf.2024.102518.pdf,No
10.1016_j.ecoinf.2024.102574.pdf,No
10.1016_j.ecoinf.2024.102555.pdf,No
146.pdf,Yes
10.1016_j.ecoinf.2022.101557.pdf,Yes
10.1016_j.ecoinf.2022.101910.pdf,Yes
10.1016_j.ecoinf.2024.102472.pdf,Yes
10.1016_j.ecoinf.2022.101609.pdf,Yes
10.1016_j.ecoinf.2024.102579.pdf,No
78.pdf,Yes
10.1016_j.ecoinf.2024.102495.pdf,Yes
10.1016_j.ecoinf.2023.102451.pdf,Yes
139.pdf,Yes
10.1016_j.ecoinf.2022.101893.pdf,Yes
158.pdf,Yes
10.1016_j.ecoinf.2024.102684.pdf,Yes
10.1016_j.ecoinf.2022.101849.pdf,No
10.1016_j.ecoinf.2024.102653.pdf,Yes
10.1016_j.ecoinf.2024.102521.pdf,Yes
10.1016_j.ecoinf.2023.102045.pdf,No
10.1016_j.ecoinf.2023.102453.pdf,Yes
10.1016_j.ecoinf.2022.101909.pdf,Yes
10.1016_j.ecoinf.2023.102206.pdf,No
10.1016_j.ecoinf.2024.102740.pdf,No
10.1016_j.ecoinf.2022.101899.pdf,No
170.pdf,Yes
10.1016_j.ecoinf.2023.102280.pdf,Yes
10.1016_j.ecoinf.2023.102437.pdf,No
10.1016_j.ecoinf.2021.101495.pdf,Yes
10.1016_j.ecoinf.2024.102566.pdf,No
97.pdf,Yes
10.1016_j.ecoinf.2024.102548.pdf,Yes
10.1016_j.ecoinf.2023.102428.pdf,Yes
10.1016_j.ecoinf.2024.102464.pdf,No
10.1016_j.ecoinf.2024.102466.pdf,Yes
137.pdf,Yes
10.1016_j.ecoinf.2024.102479.pdf,No
10.1016_j.ecoinf.2024.102534.pdf,No
1.pdf,Yes
10.1016_j.ecoinf.2023.102247.pdf,No
175.pdf,Yes
10.1016_j.ecoinf.2024.102568.pdf,Yes
10.1016_j.ecoinf.2024.102723.pdf,Yes
10.1016_j.ecoinf.2024.102588.pdf,Yes
10.1016_j.ecoinf.2023.102421.pdf,No
10.1016_j.ecoinf.2024.102665.pdf,No
100.pdf,Yes
168.pdf,Yes
10.1016_j.ecoinf.2024.102667.pdf,No
10.1016_j.ecoinf.2024.102540.pdf,No
10.1016_j.ecoinf.2023.102410.pdf,No
10.1016_j.ecoinf.2023.102332.pdf,No
10.1016_j.ecoinf.2024.102590.pdf,No
10.1016_j.ecoinf.2024.102576.pdf,Yes
10.1016_j.ecoinf.2024.102460.pdf,Yes
10.1016_j.ecoinf.2024.102572.pdf,No
10.1016_j.ecoinf.2024.102552.pdf,No
10.1016_j.ecoinf.2024.102719.pdf,No
10.1016_j.ecoinf.2024.102691.pdf,Yes
10.1016_j.ecoinf.2022.101659.pdf,No
10.1016_j.ecoinf.2024.102705.pdf,Yes
180.pdf,Yes
10.1016_j.ecoinf.2024.102718.pdf,Yes
10.1016_j.ecoinf.2024.102507.pdf,Yes
10.1016_j.ecoinf.2024.102580.pdf,Yes
7.pdf,Yes
10.1016_j.ecoinf.2023.102363.pdf,Yes
10.1016_j.ecoinf.2023.102272.pdf,Yes
10.1016_j.ecoinf.2024.102593.pdf,Yes
10.1016_j.ecoinf.2024.102751.pdf,No
10.1016_j.ecoinf.2023.102430.pdf,Yes
10.1016_j.ecoinf.2023.102026.pdf,No
147.pdf,Yes
10.1016_j.ecoinf.2023.102200.pdf,Yes
185.pdf,Yes
10.1016_j.ecoinf.2024.102695.pdf,Yes
10.1016_j.ecoinf.2021.101534.pdf,Yes
10.1016_j.ecoinf.2020.101113.pdf,Yes
10.1016_j.ecoinf.2024.102651.pdf,Yes
10.1016_j.ecoinf.2023.102397.pdf,No
10.1016_j.ecoinf.2024.102638.pdf,No
10.1016_j.ecoinf.2023.102402.pdf,No
10.1016_j.ecoinf.2023.102342.pdf,No
10.1016_j.ecoinf.2024.102549.pdf,Yes
10.1016_j.ecoinf.2023.102032.pdf,No
103.pdf,Yes
10.1016_j.ecoinf.2023.101981.pdf,No
10.1016_j.ecoinf.2023.102404.pdf,No
10.1016_j.ecoinf.2021.101236.pdf,Yes
10.1016_j.ecoinf.2024.102500.pdf,No
10.1016_j.ecoinf.2024.102489.pdf,No
10.1016_j.ecoinf.2024.102557.pdf,No
10.1016_j.ecoinf.2024.102501.pdf,Yes
10.1016_j.ecoinf.2024.102647.pdf,No
3.pdf,Yes
10.1016_j.ecoinf.2021.101547.pdf,Yes
10.1016_j.ecoinf.2023.102242.pdf,No
10.1016_j.ecoinf.2024.102595.pdf,Yes
10.1016_j.ecoinf.2023.102046.pdf,Yes
10.1016_j.ecoinf.2024.102624.pdf,No
10.1016_j.ecoinf.2024.102689.pdf,Yes
10.1016_j.ecoinf.2024.102535.pdf,Yes
10.1016_j.ecoinf.2024.102734.pdf,Yes
10.1016_j.ecoinf.2024.102513.pdf,Yes
10.1016_j.ecoinf.2024.102604.pdf,No
10.1016_j.ecoinf.2023.102361.pdf,Yes
169.pdf,Yes
10.1016_j.ecoinf.2021.101252.pdf,Yes
10.1016_j.ecoinf.2023.102384.pdf,Yes
